goldEarned,totalDamageTaken,magicDamageDealtToChampions,visionScore,physicalDamageDealtToChampions,deaths,turretKills,teamPosition_BOTTOM,teamPosition_JUNGLE,teamPosition_MIDDLE,teamPosition_TOP,teamPosition_UTILITY,championName,cluster
0.43095056312405283,0.8035515353915904,0.3935245930410333,0.0391801263283211,0.8937677740781352,0.7130807282395815,0.17943992114608226,0.0,0.0,0.0,1.0,0.0,Aatrox,2
0.4575803318058711,0.40771648978345665,0.7913315829534097,0.07202019103063859,0.19578183842158725,0.7306128862075001,0.1348107109879963,0.0,0.0,1.0,0.0,0.0,Ahri,11
0.49528064838272784,0.5276933824685955,0.8822119370701265,0.05072182526309599,0.16863944046497575,0.6926530240238115,0.0,0.0,0.0,1.0,0.0,0.0,Akali,11
0.5990308849011607,0.3226701242835689,0.30976826231556415,0.08374376108592055,0.8886816909827598,0.2782926784200997,0.17882764654418198,0.0,0.0,1.0,0.0,0.0,Akshan,1
0.10603142905296509,0.5739383392683446,0.5426125829534596,0.7149705666160253,0.1756404610001674,0.8553960376862502,0.0,0.0,0.0,0.0,0.0,1.0,Alistar,10
0.4447120711674201,0.7112368542044031,0.7239692358855573,0.11714199418525413,0.19609127974459956,0.6198722164026201,0.0,0.0,1.0,0.0,0.0,0.0,Amumu,14
0.4399686698121024,0.5766128551163966,0.8298347781953753,0.05483444549521163,0.16191556685511216,0.5414311266140946,0.0,0.0,0.0,1.0,0.0,0.0,Anivia,11
0.4561760511052609,0.3478197980068932,0.9075324739878252,0.04994238526937533,0.1126120997389003,0.828441045154066,0.0,0.0,0.0,1.0,0.0,0.0,Annie,11
0.5896011242069802,0.2753357515927073,0.1739718839674967,0.04862209548444435,0.9320014876234337,0.40032023422748564,0.21767838125665603,1.0,0.0,0.0,0.0,0.0,Aphelios,5
0.5442833006198236,0.2903273130562732,0.27089999576234314,0.13052577089520134,0.8554194571610445,0.3871264384308437,0.2032617342879873,1.0,0.0,0.0,0.0,0.0,Ashe,5
0.581440591112327,0.44420391204022536,0.9254161035870498,0.035258024242745545,0.011720396802686217,0.7097084661227759,0.0,0.0,0.0,1.0,0.0,0.0,AurelionSol,11
0.4900950597233937,0.43659704825208945,0.8892130584817098,0.05039354878319677,0.0836405717172094,0.7880720345045478,0.14773055796472967,0.0,0.0,1.0,0.0,0.0,Azir,11
0.24573504529692408,0.3074172681340249,0.5997693011261519,0.8747671067310122,0.35355276714709627,0.0945885738042832,0.0,0.0,0.0,0.0,0.0,1.0,Bard,3
0.49807845087779007,0.6801849947229079,0.22706271748106993,0.12490081749304907,0.7018552223265632,0.8868033221356222,0.0,0.0,1.0,0.0,0.0,0.0,Belveth,7
0.108866241536624,0.4940384428002625,0.5173611062509743,0.6941950375886579,0.31770644393909847,0.88927482028145,0.0,0.0,0.0,0.0,0.0,1.0,Blitzcrank,10
0.5522249412049774,0.6802421192746391,0.8944600133278614,0.15956313618635445,0.10929709264439008,0.7168370945040528,0.0,0.0,1.0,0.0,0.0,0.0,Brand,14
0.17177253462388542,0.3563091734179803,0.5426126495583559,0.8012096704061699,0.1907791604845938,0.1303035751982935,0.0,0.0,0.0,0.0,0.0,1.0,Braum,3
0.5503831454092318,0.7576283530757075,0.4129017972574892,0.09640243127212221,0.8297134814667941,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Briar,7
0.5638609477219805,0.2888388744511048,0.18038540324813107,0.06850859588878466,0.9029959556792145,0.38047302926253,0.2138522703494455,1.0,0.0,0.0,0.0,0.0,Caitlyn,5
0.4889005279548375,0.674908934605764,0.22029003993966917,0.03934448569139676,0.8205245031776369,0.8210694236155701,0.24793789422610385,0.0,0.0,0.0,1.0,0.0,Camille,2
0.46771032276788377,0.5373378621055244,0.8866048632705934,0.05630430406526038,0.0699845944461317,0.7310895797543904,0.0,0.0,0.0,1.0,0.0,0.0,Cassiopeia,11
0.4102127748891144,0.9432118915844345,0.7207124038609782,0.04937455535789603,0.33727967891687904,0.5832727273438107,0.14042319318494093,0.0,0.0,0.0,1.0,0.0,Chogath,14
0.5633539716757425,0.40420840655941237,0.8795613001219483,0.04747702056649272,0.379831470345634,0.7773844467374241,0.0,0.0,0.0,1.0,0.0,0.0,Corki,11
0.5532187555486175,0.5017848012014989,0.0,0.06468784626101312,0.8193418515514707,0.16640674714050846,0.2165713074803984,0.0,0.0,0.0,1.0,0.0,Darius,1
0.5362688361375606,0.4225212267027673,0.865312668952787,0.061497751646452825,0.25474783611026003,0.868135487820852,0.15310861423220973,0.0,0.0,1.0,0.0,0.0,Diana,11
0.6862552136958744,1.0,0.8035893573989195,0.046903235265309096,0.697647864672167,0.1816477122106846,0.5976608187134503,0.0,0.0,0.0,1.0,0.0,DrMundo,0
0.7464701471511482,0.33458751609974535,0.0,0.024505382100157097,0.9127423163154479,0.43010409277861084,0.1841441979481465,1.0,0.0,0.0,0.0,0.0,Draven,5
0.5677845044350176,0.7502550028874561,0.7785601062487439,0.11937132118569216,0.26453341928482343,0.6014672907332455,0.0,0.0,1.0,0.0,0.0,0.0,Ekko,14
0.48944679300366634,0.6422468244061383,0.7951375068803505,0.14974723809213972,0.16945766934176476,0.7907969571278801,0.0,0.0,1.0,0.0,0.0,0.0,Elise,14
0.5535605380858993,0.6492107401419481,0.8734633565206527,0.11111431338561065,0.09207367216390971,0.6431889658052115,0.0,0.0,1.0,0.0,0.0,0.0,Evelynn,14
